model,threshold,true_negatives,false_positives,false_negatives,true_positives,business_cost,precision,recall,f1
Random Forest,0.2,7470,259,29,242,549,0.48303393213572854,0.8929889298892989,0.6269430051813472
Random Forest,0.21,7496,233,31,240,543,0.507399577167019,0.8856088560885609,0.6451612903225806
Random Forest,0.22,7512,217,32,239,537,0.5241228070175439,0.8819188191881919,0.657496561210454
Random Forest,0.23,7523,206,34,237,546,0.5349887133182845,0.8745387453874539,0.6638655462184874
Random Forest,0.24,7548,181,35,236,531,0.565947242206235,0.8708487084870848,0.686046511627907
Random Forest,0.25,7567,162,36,235,522,0.5919395465994962,0.8671586715867159,0.7035928143712575
Random Forest,0.26,7582,147,37,234,517,0.6141732283464567,0.8634686346863468,0.7177914110429447
Random Forest,0.27,7589,140,37,234,510,0.6256684491978609,0.8634686346863468,0.7255813953488373
Random Forest,0.28,7604,125,39,232,515,0.6498599439775911,0.8560885608856088,0.7388535031847133
Random Forest,0.29,7612,117,40,231,517,0.6637931034482759,0.8523985239852399,0.7463651050080775
Random Forest,0.3,7624,105,41,230,515,0.6865671641791045,0.8487084870848709,0.759075907590759
Random Forest,0.31,7633,96,41,230,506,0.7055214723926381,0.8487084870848709,0.7705192629815746
Random Forest,0.32,7642,87,42,229,507,0.7246835443037974,0.8450184501845018,0.7802385008517888
Random Forest,0.33,7654,75,42,229,495,0.7532894736842105,0.8450184501845018,0.7965217391304348
Random Forest,0.34,7661,68,43,228,498,0.7702702702702703,0.8413284132841329,0.8042328042328042
Random Forest,0.35,7667,62,44,227,502,0.7854671280276817,0.8376383763837638,0.8107142857142857
Random Forest,0.36,7670,59,44,227,499,0.7937062937062938,0.8376383763837638,0.8150807899461401
Random Forest,0.37,7672,57,46,225,517,0.7978723404255319,0.8302583025830258,0.8137432188065099
Random Forest,0.38,7676,53,49,222,543,0.8072727272727273,0.8191881918819188,0.8131868131868132
Random Forest,0.39,7681,48,50,221,548,0.8215613382899628,0.8154981549815498,0.8185185185185185
Random Forest,0.4,7687,42,51,220,552,0.8396946564885496,0.8118081180811808,0.8255159474671669
Random Forest,0.41,7691,38,52,219,558,0.8521400778210116,0.8081180811808119,0.8295454545454546
Random Forest,0.42,7694,35,55,216,585,0.8605577689243028,0.7970479704797048,0.8275862068965517
Random Forest,0.43,7695,34,55,216,584,0.864,0.7970479704797048,0.8291746641074856
Random Forest,0.44,7696,33,57,214,603,0.8663967611336032,0.7896678966789668,0.8262548262548263
Random Forest,0.45,7702,27,57,214,597,0.8879668049792531,0.7896678966789668,0.8359375
Random Forest,0.46,7704,25,58,213,605,0.8949579831932774,0.7859778597785978,0.8369351669941061
Random Forest,0.47,7705,24,59,212,614,0.8983050847457628,0.7822878228782287,0.8362919132149902
Random Forest,0.48,7707,22,63,208,652,0.9043478260869565,0.7675276752767528,0.8303393213572854
Random Forest,0.49,7709,20,65,206,670,0.911504424778761,0.7601476014760148,0.8289738430583501
Random Forest,0.5,7710,19,65,206,669,0.9155555555555556,0.7601476014760148,0.8306451612903226
Random Forest,0.51,7713,16,65,206,666,0.9279279279279279,0.7601476014760148,0.8356997971602435
Random Forest,0.52,7715,14,66,205,674,0.9360730593607306,0.7564575645756457,0.8367346938775511
Random Forest,0.53,7717,12,69,202,702,0.9439252336448598,0.7453874538745388,0.8329896907216495
Random Forest,0.54,7717,12,69,202,702,0.9439252336448598,0.7453874538745388,0.8329896907216495
Random Forest,0.55,7720,9,70,201,709,0.9571428571428572,0.7416974169741697,0.8357588357588358
Random Forest,0.56,7721,8,71,200,718,0.9615384615384616,0.7380073800738007,0.8350730688935282
Random Forest,0.57,7721,8,74,197,748,0.9609756097560975,0.7269372693726938,0.8277310924369747
Random Forest,0.58,7721,8,75,196,758,0.9607843137254902,0.7232472324723247,0.8252631578947368
Random Forest,0.59,7722,7,76,195,767,0.9653465346534653,0.7195571955719557,0.8245243128964059
Random Forest,0.6,7722,7,80,191,807,0.9646464646464646,0.7047970479704797,0.814498933901919
Random Forest,0.61,7722,7,87,184,877,0.9633507853403142,0.6789667896678967,0.7965367965367965
Random Forest,0.62,7722,7,90,181,907,0.9627659574468085,0.6678966789667896,0.7886710239651417
Random Forest,0.63,7722,7,92,179,927,0.9623655913978495,0.6605166051660517,0.7833698030634574
Random Forest,0.64,7722,7,96,175,967,0.9615384615384616,0.6457564575645757,0.7726269315673289
Random Forest,0.65,7723,6,98,173,986,0.9664804469273743,0.6383763837638377,0.7688888888888888
Random Forest,0.66,7724,5,102,169,1025,0.9712643678160919,0.6236162361623616,0.7595505617977528
Random Forest,0.67,7724,5,107,164,1075,0.9704142011834319,0.6051660516605166,0.7454545454545455
Random Forest,0.68,7724,5,108,163,1085,0.9702380952380952,0.6014760147601476,0.7425968109339408
Random Forest,0.69,7725,4,110,161,1104,0.9757575757575757,0.5940959409594095,0.7385321100917431
Random Forest,0.7,7725,4,112,159,1124,0.9754601226993865,0.5867158671586716,0.7327188940092166
Random Forest,0.71,7725,4,115,156,1154,0.975,0.5756457564575646,0.7238979118329466
Random Forest,0.72,7725,4,119,152,1194,0.9743589743589743,0.5608856088560885,0.711943793911007
Random Forest,0.73,7725,4,124,147,1244,0.9735099337748344,0.5424354243542435,0.6966824644549763
Random Forest,0.74,7726,3,130,141,1303,0.9791666666666666,0.5202952029520295,0.6795180722891566
Random Forest,0.75,7726,3,133,138,1333,0.9787234042553191,0.5092250922509225,0.6699029126213593
Random Forest,0.76,7728,1,138,133,1381,0.9925373134328358,0.4907749077490775,0.6567901234567901
Random Forest,0.77,7729,0,139,132,1390,1.0,0.4870848708487085,0.6550868486352357
Random Forest,0.78,7729,0,142,129,1420,1.0,0.47601476014760147,0.645
Random Forest,0.79,7729,0,144,127,1440,1.0,0.46863468634686345,0.6381909547738693
Random Forest,0.8,7729,0,150,121,1500,1.0,0.44649446494464945,0.6173469387755102
Random Forest,0.81,7729,0,158,113,1580,1.0,0.41697416974169743,0.5885416666666666
Random Forest,0.82,7729,0,164,107,1640,1.0,0.3948339483394834,0.5661375661375662
